gene,relevance,abs_relevance,input_value
PDYN,1.8500848,1.8500848,1.1460851
SLC22A6,-1.8398788,1.8398788,1.9106035
FOXE1,1.8228974,1.8228974,-0.7458548
ACSM2B,1.7735817,1.7735817,-0.39276087
SLCO4C1,1.7431617,1.7431617,-0.83504325
PRSS8,1.7389858,1.7389858,-3.2039325
GLYAT,1.7291522,1.7291522,-0.37767163
MCTP2,1.7109202,1.7109202,-2.4947495
GPX2,-1.707846,1.707846,-1.261849
SLITRK1,-1.6933753,1.6933753,2.5801256
OCIAD2,1.684739,1.684739,-3.086492
GRIA1,1.6505741,1.6505741,2.6043735
MET,1.6249192,1.6249192,-1.6002352
GAD2,1.6179739,1.6179739,1.7277955
ASTN2,-1.58338,1.58338,1.5742049
WSCD1,1.5288049,1.5288049,1.9261739
KCNC1,1.5259513,1.5259513,1.7939714
SLC1A3,-1.5176624,1.5176624,2.4548233
TMC5,-1.4661585,1.4661585,-1.5073442
HNF1B,1.4555335,1.4555335,-0.763172
DSP,-1.4129779,1.4129779,-1.9288044
GRIK3,-1.4070916,1.4070916,1.5475199
LGALS4,-1.3862716,1.3862716,-0.6831436
ATP1A3,-1.3671098,1.3671098,2.2875013
AP1M2,1.3642247,1.3642247,-2.77845
SEMA5B,-1.3471782,1.3471782,1.2527419
NRXN1,-1.3411103,1.3411103,2.3400333
HHEX,-1.3407928,1.3407928,0.56694007
SLIT1,-1.3402244,1.3402244,1.7570746
CLDN7,1.3392754,1.3392754,-3.086207
ATP1B2,-1.3004221,1.3004221,2.3841329
SYP,1.2888352,1.2888352,2.07612
FYN,1.2791445,1.2791445,1.9580934
PKP1,-1.2774346,1.2774346,-1.6004212
KCNJ16,-1.2632427,1.2632427,0.9501597
STXBP2,1.2548304,1.2548304,-2.138521
MAPT,1.2225347,1.2225347,1.6779385
ERBB2,1.1892949,1.1892949,-2.3023198
S100A5,1.1837823,1.1837823,-0.7800213
ACSM2A,1.1771775,1.1771775,-0.3005325
HOMER2,-1.1708364,1.1708364,-0.5454408
EPCAM,1.1678448,1.1678448,-2.37085
UNC80,-1.1558245,1.1558245,1.9564956
AQP3,1.1527878,1.1527878,-1.9508431
ADCYAP1R1,-1.1487551,1.1487551,2.9046345
NOX1,-1.1468763,1.1468763,-0.6627502
DPF1,-1.1449122,1.1449122,1.8245147
DSG2,1.1385591,1.1385591,-3.6185489
CAPNS2,1.1207755,1.1207755,-0.6315625
POSTN,1.118898,1.118898,-2.953373
HNF4A,1.1164026,1.1164026,-0.72713476
KCNJ9,-1.1108255,1.1108255,3.1994462
RAB25,1.1081839,1.1081839,-2.6025016
KRT18,1.1021626,1.1021626,-3.9840398
F11R,1.1020006,1.1020006,-2.7984834
TMPRSS2,1.0957295,1.0957295,-1.6750444
SLC6A1,-1.0815506,1.0815506,2.63628
SMARCD2,1.0722091,1.0722091,-1.8783207
MST1R,1.0695676,1.0695676,-1.7053651
EPHA1,1.0633466,1.0633466,-3.1382291
IRF6,1.0624181,1.0624181,-2.6255343
